Key Word	Snowflake
REMOVE	non-reserved
RENAME	non-reserved
REPLACE	non-reserved
RESOURCE	non-reserved
RESTRICT	non-reserved
RESULT	non-reserved
RESUME	non-reserved
RETURN	non-reserved
RETURNS	non-reserved
REVERSE	non-reserved
ROLE	non-reserved
ROLLBACK	non-reserved
ROLLUP	non-reserved
RUNTIME_VERSION	non-reserved
SCALING_POLICY	non-reserved
SEARCH	non-reserved
SECOND	non-reserved
SECURE	non-reserved
SECURITY	non-reserved
SEED	non-reserved
SEMI	non-reserved
SEQUENCE	non-reserved
SESSION	non-reserved
SHARE	non-reserved
SHOW	non-reserved
SIMPLE	non-reserved
SIZE	non-reserved
SKIP	non-reserved
SNAPSHOT	non-reserved
SORT	non-reserved
STAGE	non-reserved
STANDARD	non-reserved
STATEMENT	non-reserved
STORAGE	non-reserved
STREAM	non-reserved
STRING	non-reserved
SUSPEND	non-reserved
SWAP	non-reserved
SYSTEM	non-reserved
TABLES	non-reserved
TAG	non-reserved
TARGET_LAG	non-reserved
TASK	non-reserved
TEMP	non-reserved
TEMPORARY	non-reserved
TEXT	non-reserved
TIME	non-reserved
TIMESTAMP	non-reserved
TIMESTAMP_LTZ	non-reserved
TIMESTAMP_NTZ	non-reserved
TIMESTAMP_TZ	non-reserved
TIMEZONE	non-reserved
TOP	non-reserved
TRANSACTION	non-reserved
TRANSIENT	non-reserved
TRIM	non-reserved
TRUNCATE	non-reserved
TYPE	non-reserved
UNBOUNDED	non-reserved
UNDROP	non-reserved
UNPIVOT	non-reserved
UNSET	non-reserved
UNTIL	non-reserved
USAGE	non-reserved
USE	non-reserved
USER	non-reserved
VALIDATE	non-reserved
VARCHAR	non-reserved
VARIABLES	non-reserved
VARIANT	non-reserved
VECTOR	non-reserved
VOLATILE	non-reserved
WAREHOUSE	non-reserved
WAREHOUSE_SIZE	non-reserved
WEEK	non-reserved
WHILE	non-reserved
WINDOW	non-reserved
WITHIN	non-reserved
WITHOUT	non-reserved
WRITE	non-reserved
YEAR	non-reserved
ZONE	non-reserved
